Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
,2.0,1100.0,,Super Area,Bandel,India-! Kolkata,Unfurnished,Bach^elors/Fam.ily,2.0,Contact Owner,10000
2022-05-13,2.0,800.0,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",India-! Kolkata,Semi-Furnished,Bachelors\/Family*,,,20000
2022-05-16,2.0,1000.0,1 out of 3,Super Area,Salt Lake City Sector 2,India-- Kolkata,Semi-Furnished,,1.0,Contact Owner,17000
2022-07-04,2.0,800.0,1 out of 2,Super Area,,,Unfurnished,Bachel]ors/F@amily,1.0,,10000
2022-05-09,2.0 room,850.0,1 out of 2,Carpet Area,South Dum Dum,India-^ Kolkata,Unfurnished,Bache[lors&,1.0,Contact Owner,7500
2022-04-29,2.0,600.0,Ground out of 1,Super Area,Thakurpukur,India-\ Kolkata,Unfurnished,Bachelors/F}amily+,2.0,Contact Owner,7000
2022-06-21,2.0,700.0,Ground out of 4,Super Area,,India-% Kolkata,Unfurnished,Bach@=elors,2.0,Contact Agent,10000
2022-06-21,1.0,250.0,1 out of 2,Super Area,Malancha,",-9 Kolkata",Unfurnished,,1.0 Bathrooms,Contact Agent,5000
2022-06-07,2.0,,1 out of 2,Carpet Area,"Palm Avenue Kolkata, Ballygunge",,Unfurnished,"?Bachelor,s",2.0,Contact Agent,26000
,,1000.0,1 out of 3,Carpet Area,Natunhat,",-9 Kolkata",Semi-Furnished,,2.0,Contact Owner,10000
2022-05-23,3.0,1200.0,1 out of 4,,"Action Area 1, Rajarhat Newtown",India-/ Kolkata,Semi-Furnished,Bachelors/#Fam*ily,2.0,Contact Agent,25000
,1.0,400.0,1 out of 1,Carpet Area,Keshtopur,(-9 Kolkata,Unfurnished,Bachelors?/F^amily,1.0,Contact Agent,5000
,1.0,250.0,1 out of 4,Carpet Area,"Tarulia, Keshtopur",^-9 Kolkata,Furnished,Ba$chelors),1.0,Contact Owner,6500
2022-05-09,1.0,375.0,1 out of 2,Carpet Area,Dum Dum Metro,India-! Kolkata,Unfurnished,,1.0,Contact Agent,5500
2022-05-05,3.0,900.0,Ground out of 2,Carpet Area,Paschim Barisha,India-- Kolkata,Unfurnished,B*achelo-rs,2.0,Contact Owner,8500
,3.0,1286.0,1 out of 1,Carpet Area,New Town Action Area 1,",-9 Kolkata",Furnished,Bachelors/Fa[mi|ly,2.0 Bathrooms,Contact Owner,40000
2022-05-17,2.0,600.0,,Super Area,Barasat,--9 Kolkata,Semi-Furnished,Bachelors/F!a|mily,1.0,Contact Owner,6000
2022-06-20,2.0,800.0,,Super Area,Behala,India-* Kolkata,Unfurnished,Bachelors/F}ami^ly,1.0,Contact Owner,10000
2022-06-09,2.0,2000.0,Ground out of 3,Carpet Area,,India-; Kolkata,Unfurnished,Bachelors</Fami@ly,1.0 Bathrooms,,11000
,,,1 out of 2,Super Area,,India-! Kolkata,Unfurnished,Bachelors/?F}amily,1.0,Contact Owner,6000
,2.0,650.0,1 out of 2,Carpet Area,Santoshpur,India-. Kolkata,Unfurnished,"Fam""ily,",1.0,Contact Owner,7900
2022-06-14,2.0,400.0,2 out of 3,Carpet Area,"Garia Station, Garia",!-9 Kolkata,Unfurnished,]Bachel=ors,2.0,Contact Owner,9000
,1.0,300.0,Ground out of 4,,"Garia Station, Garia",:-9 Kolkata,Unfurnished,Bachelors/Fami&;ly,1.0,Contact Owner,4000
,3.0,1600.0,Ground out of 2,,Joka,\-9 Kolkata,Unfurnished,Bachelor:s/Fam{ily,,Contact Owner,6500
2022-05-28,1.0,400.0,,,Sreebhumi,India-\ Kolkata,Semi-Furnished,"B""achelo{rs",,Contact Agent,8000
2022-05-22,2.0,,,Super Area,Rajarhat,;-9 Kolkata,Unfurnished,Bachelors/Fam-ily$,,Contact Owner,7000
,1.0,355.0,1 out of 1,Carpet Area,Dum Dum,India-. Kolkata,Semi-Furnished,Bachel^ors/F&amily,1.0,Contact Agent,5300
2022-06-25,2.0,1000.0,,,"Kodalia, Hooghly-Chinsurah",India-> Kolkata,Semi-Furnished,,1.0,Contact Owner,6000
2022-06-22,2.0,,4 out of 5,Super Area,Baguiati,;-9 Kolkata,Unfurnished,,,,8500
,2.0,850.0,Ground out of 2,Super Area,"Rabindra Sarobar Area, Dhakuria",,,'Bachelors/;Family,2.0,Contact Owner,12500
2022-05-21,1.0,350.0,,Carpet Area,Baghajatin,.-9 Kolkata,Unfurnished,"Bache[lors/Fa,mily",1.0,Contact Owner,7500
2022-06-26,2.0,900.0,Ground out of 2,,"Project Kaikhali, Vip Road",India-@ Kolkata,Unfurnished,Bache#lors:/Family,2.0,Contact Owner,15000
2022-06-16,2.0,550.0,,Super Area,Vip Road,India-{ Kolkata,Semi-Furnished,Bachelor]s/Fa#mily,1.0,,6000
2022-06-29,2.0,500.0,Ground out of 2,Carpet Area,Baruipur,India-[ Kolkata,Unfurnished,"Bachel""or&s/Family",2.0,Contact Owner,5000
2022-05-10,3.0,1100.0,2 out of 3,Carpet Area,Dumdum Park,,,B:achelors_/Family,1.0,Contact Owner,22000
2022-05-12,2.0,850.0,1 out of 2,Carpet Area,Sreebhumi,India-| Kolkata,Semi-Furnished,,1.0,Contact Owner,15000
,2.0,800.0,2 out of 2,Carpet Area,Shyam Bazar,,Unfurnished,B'ache?lors,1.0,Contact Agent,12500
2022-05-31,2.0,630.0,Ground out of 3,Carpet Area,Birati,(-9 Kolkata,Unfurnished,,1.0,Contact Owner,7000
2022-06-10,2.0 room,,1 out of 2,Carpet Area,Bansdroni,\-9 Kolkata,Semi-Furnished,Bac=hel(ors,2.0,Contact Owner,21000
,1.0,270.0,1 out of 2,,Jadavpur University,India-} Kolkata,Semi-Furnished,B$achelors/Fami-ly,,Contact Owner,10000
2022-06-29,2.0,630.0,Ground out of 1,,Birati,"""-9 Kolkata",Semi-Furnished,,1.0,Contact Owner,7200
